                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.61734,                0.46495,                0.89171,                 0.7814,                0.62351,                0.68421,                0.44301,                 1.2202,                 1.0108,                 1.1922,             0.00054671,             0.00054671,             0.00054671
                     74,                0.60932,                0.45633,                0.88056,                0.85563,                0.59963,                0.68569,                0.43854,                 1.2035,                0.99223,                 1.1908,             0.00054435,             0.00054435,             0.00054435
                     75,                0.60633,                0.45293,                0.89041,                0.71862,                0.63559,                0.67193,                0.41944,                  1.211,                0.97676,                 1.2125,               0.000542,               0.000542,               0.000542
                     76,                0.61179,                0.45299,                0.88878,                0.75478,                0.61941,                0.65344,                0.42582,                 1.2248,                 1.0579,                  1.209,             0.00053964,             0.00053964,             0.00053964
                     77,                0.59753,                0.44223,                 0.8852,                0.82244,                0.62189,                0.68026,                 0.4332,                 1.2376,                0.99182,                 1.2029,             0.00053728,             0.00053728,             0.00053728
                     78,                0.60382,                 0.4452,                0.87899,                0.70751,                0.66058,                0.70777,                0.46557,                 1.2237,                 1.0432,                 1.2109,             0.00053493,             0.00053493,             0.00053493
                     79,                0.58773,                0.43032,                0.87644,                0.75102,                0.57558,                 0.6833,                0.41452,                 1.2213,                 0.9859,                 1.2096,             0.00053257,             0.00053257,             0.00053257
                     80,                0.58275,                0.43836,                0.88214,                0.73539,                0.59171,                0.64245,                0.40242,                 1.2426,                0.99929,                 1.2186,             0.00053022,             0.00053022,             0.00053022
                     81,                0.59205,                0.43311,                0.87801,                0.81816,                0.57923,                0.67106,                0.41815,                 1.2141,                 1.0295,                 1.1751,             0.00052786,             0.00052786,             0.00052786
                     82,                0.57697,                0.43132,                0.87514,                0.77494,                0.58586,                0.67511,                0.42838,                 1.2152,                0.98011,                 1.1968,              0.0005255,              0.0005255,              0.0005255
                     83,                0.57343,                0.42302,                0.87284,                0.75435,                0.61515,                0.67834,                0.44623,                 1.2009,                0.98448,                 1.1919,             0.00052315,             0.00052315,             0.00052315
                     84,                0.58086,                0.43225,                 0.8803,                0.85181,                0.61912,                0.70396,                0.44248,                 1.1879,                 1.0006,                 1.1896,             0.00052079,             0.00052079,             0.00052079
                     85,                0.57679,                0.43364,                0.87368,                0.73888,                0.60623,                0.70722,                0.45341,                 1.2056,                 1.0217,                 1.1853,             0.00051844,             0.00051844,             0.00051844
                     86,                0.55972,                 0.4121,                0.86891,                 0.7676,                0.57128,                0.65436,                0.41773,                 1.1851,                 1.0105,                 1.1802,             0.00051608,             0.00051608,             0.00051608
                     87,                0.56747,                0.41913,                0.86969,                0.78394,                0.53934,                0.64157,                0.40532,                 1.2236,                 1.0359,                 1.1961,             0.00051372,             0.00051372,             0.00051372
                     88,                0.55666,                0.41362,                0.86692,                0.77945,                0.63747,                0.69474,                0.45543,                   1.23,                0.96581,                 1.2234,             0.00051137,             0.00051137,             0.00051137
                     89,                0.56126,                0.41506,                0.86989,                0.72211,                0.59789,                0.64159,                 0.4285,                 1.2241,                0.98141,                 1.2147,             0.00050901,             0.00050901,             0.00050901
                     90,                0.55272,                 0.4084,                0.87042,                0.84709,                0.59991,                0.70466,                0.46575,                 1.2004,                0.95569,                 1.1783,             0.00050665,             0.00050665,             0.00050665
                     91,                 0.5653,                0.40964,                0.87482,                0.79969,                0.61623,                0.71184,                0.44112,                 1.2029,                 1.0059,                 1.1832,              0.0005043,              0.0005043,              0.0005043
                     92,                  0.564,                0.41756,                0.87622,                0.75818,                0.65787,                0.71817,                0.47082,                 1.2013,                 1.0071,                 1.1866,             0.00050194,             0.00050194,             0.00050194
                     93,                0.55302,                0.40673,                0.87179,                0.71853,                0.65553,                0.70401,                0.44137,                 1.1878,                0.96556,                 1.1852,             0.00049959,             0.00049959,             0.00049959
                     94,                0.54831,                0.40292,                0.86307,                0.77421,                0.58885,                0.68085,                0.44219,                 1.2013,                 1.0345,                 1.1759,             0.00049723,             0.00049723,             0.00049723
                     95,                0.53996,                0.39628,                0.86989,                0.81235,                0.57145,                0.66653,                0.40889,                 1.2235,                0.96229,                 1.2038,             0.00049487,             0.00049487,             0.00049487
                     96,                0.54126,                0.40107,                0.86198,                0.80236,                0.63901,                0.72087,                0.44596,                  1.193,                0.97341,                 1.1986,             0.00049252,             0.00049252,             0.00049252
